epoch;training_loss;validation_loss;difference;accuracy
1;2.35312;2.36131;0.00819;0.36060
2;1.98439;1.99579;0.01140;0.36890
3;1.93409;1.94599;0.01189;0.37580
4;1.92607;1.94143;0.01536;0.37630
5;1.92619;1.94061;0.01442;0.37500
6;1.92442;1.93815;0.01373;0.37770
7;1.92446;1.93676;0.01230;0.37940
8;1.92488;1.93972;0.01484;0.37690
9;1.92368;1.93702;0.01334;0.38050
10;1.92387;1.93760;0.01373;0.37780
11;1.92224;1.93744;0.01520;0.37540
12;1.92226;1.93897;0.01671;0.37610
13;1.92395;1.93460;0.01065;0.37810
14;1.92270;1.93534;0.01264;0.37240
15;1.92274;1.93325;0.01051;0.37930
16;1.92290;1.93966;0.01676;0.38030
17;1.92162;1.93261;0.01099;0.37670
18;1.92369;1.93788;0.01419;0.37930
19;1.92559;1.93539;0.00980;0.36950
20;1.92185;1.93667;0.01482;0.37700
21;1.92118;1.93461;0.01342;0.37720
22;1.92102;1.93561;0.01459;0.37800
23;1.92176;1.93445;0.01268;0.37950
24;1.92280;1.93647;0.01367;0.37710
25;1.92149;1.93253;0.01104;0.38110
26;1.92186;1.93710;0.01524;0.37200
27;1.92305;1.93927;0.01622;0.37340
28;1.92043;1.93377;0.01335;0.37770
29;1.92165;1.93511;0.01345;0.37910
30;1.92123;1.93272;0.01149;0.37920
31;1.92156;1.93580;0.01424;0.38080
32;1.92186;1.93761;0.01575;0.37660
33;1.91970;1.92852;0.00882;0.37960
34;1.92069;1.93206;0.01138;0.37880
35;1.92083;1.93723;0.01640;0.37510
36;1.91986;1.92818;0.00832;0.37890
37;1.92103;1.93711;0.01607;0.38080
38;1.92094;1.93385;0.01291;0.37980
39;1.92015;1.93416;0.01402;0.37650
40;1.92039;1.93515;0.01476;0.37860
41;1.92020;1.93180;0.01161;0.37500
42;1.92159;1.93051;0.00892;0.37570
43;1.92034;1.93477;0.01443;0.37700
44;1.92318;1.94034;0.01717;0.37760
45;1.91934;1.92814;0.00880;0.37980
46;1.91993;1.93203;0.01211;0.38100
47;1.92077;1.93000;0.00923;0.37510
48;1.92001;1.93167;0.01166;0.37540
49;1.92022;1.93203;0.01181;0.38040
50;1.92102;1.93453;0.01351;0.37550
51;1.91993;1.93300;0.01308;0.37590
52;1.92084;1.92870;0.00786;0.37840
53;1.92054;1.93538;0.01485;0.37700
54;1.92114;1.93662;0.01548;0.37840
55;1.91913;1.93370;0.01458;0.38250
56;1.92080;1.93292;0.01212;0.38180
57;1.92011;1.92854;0.00843;0.37660
58;1.92100;1.93154;0.01054;0.37940
59;1.92104;1.93674;0.01570;0.38190
60;1.91938;1.93089;0.01152;0.38060
61;1.92149;1.93566;0.01417;0.37930
62;1.91957;1.93745;0.01788;0.38310
63;1.92027;1.93272;0.01246;0.37800
64;1.92015;1.93060;0.01045;0.37860
65;1.91875;1.92896;0.01021;0.38070
66;1.92015;1.92977;0.00962;0.37910
67;1.92130;1.93833;0.01704;0.37670
68;1.91953;1.93294;0.01341;0.37950
69;1.92123;1.93403;0.01280;0.37800
70;1.91946;1.93276;0.01330;0.37690
71;1.92035;1.93399;0.01364;0.37940
72;1.92039;1.93044;0.01005;0.37980
73;1.91938;1.93169;0.01231;0.38010
74;1.92035;1.93045;0.01009;0.37380
75;1.91943;1.93016;0.01073;0.38070
76;1.92022;1.93357;0.01335;0.37920
77;1.91928;1.93334;0.01406;0.37930
78;1.92022;1.92869;0.00847;0.37690
79;1.91945;1.92966;0.01020;0.38220
80;1.92057;1.93199;0.01142;0.38050
81;1.91998;1.93071;0.01074;0.37760
82;1.92031;1.92758;0.00727;0.38420
83;1.91962;1.93109;0.01148;0.37740
84;1.91995;1.93409;0.01414;0.38210
85;1.92014;1.93325;0.01311;0.37830
86;1.91951;1.93152;0.01201;0.38150
87;1.92037;1.93547;0.01509;0.37740
88;1.92054;1.93195;0.01141;0.37890
89;1.92115;1.93115;0.00999;0.37560
90;1.92052;1.93691;0.01639;0.37760
91;1.91902;1.93100;0.01198;0.37880
92;1.92123;1.93336;0.01213;0.37560
93;1.91861;1.93166;0.01305;0.37530
94;1.91923;1.93229;0.01306;0.38290
95;1.91979;1.93287;0.01308;0.37690
96;1.91905;1.93334;0.01429;0.37980
97;1.92013;1.93331;0.01318;0.37480
98;1.91975;1.93338;0.01363;0.37910
99;1.92129;1.93208;0.01079;0.38100
100;1.92044;1.93162;0.01118;0.37650
101;1.91981;1.92583;0.00603;0.37860
102;1.91969;1.92967;0.00998;0.37940
103;1.92121;1.92939;0.00819;0.37140
104;1.92081;1.92978;0.00897;0.38150
105;1.91917;1.93014;0.01096;0.37680
106;1.92142;1.93653;0.01511;0.37890
107;1.92033;1.93190;0.01157;0.37730
108;1.91969;1.93165;0.01197;0.37760
109;1.91889;1.92906;0.01018;0.38040
110;1.91903;1.93348;0.01445;0.38080
111;1.92048;1.93382;0.01335;0.37630
112;1.91964;1.92923;0.00959;0.38380
113;1.92176;1.93284;0.01108;0.37160
114;1.91950;1.93226;0.01276;0.38140
115;1.92043;1.93444;0.01401;0.37630
116;1.92026;1.93144;0.01118;0.37790
117;1.91927;1.93066;0.01139;0.38040
118;1.92025;1.92860;0.00836;0.37950
119;1.92278;1.93564;0.01286;0.37420
